worker19,worker1,.148803101
worker19 worker1 
worker9 worker19 
worker19 worker1 9.08
worker8,worker9,2.612765406
worker2,worker10,1.728231444
worker2 worker10 5.8552
worker2 worker10 59.7502
worker10,worker7,135.498117345
worker11 worker7 9.6930
worker10 worker15 23.4106
worker18 worker10 38.7228
worker11,worker15,4.085388847
worker11 worker4 4.7200
worker11 worker4 7.2866
worker10 worker11 43.7406
worker16 worker8 3.7526
worker1,worker8,.186881233
worker1 worker9 4.5844
worker9 worker19 11.5320
worker18 worker8 38.7203
worker14,worker18,15.405720685
worker14 worker18 48.9164
