worker11,13,worker11,3
worker9,13,worker9,3
worker10,11,worker10,4
worker8,13,worker8,3
worker14,13,worker14,3
worker8,13,worker8,4
worker11,15,worker11,3
worker7,42,worker7,42
worker11,8,worker11,3
worker9,0,worker9,3
worker1,0,worker1,3
worker9,0,worker9,4
worker1,0,worker1,3
worker9,0,worker9,5
worker1,0,worker1,2
worker9,0,worker9,6
worker1,0,worker1,3
worker9,0,worker9,3
worker1,0,worker1,3
worker9,0,worker9,4
worker10,0,worker10,5
worker9,0,worker9,3
worker10,0,worker10,4
worker9,0,worker9,5
worker10,0,worker10,4
worker7,8,worker7,61
worker10,0,worker10,3
worker7,8,worker7,62
